29,denovo719,Root,rootrank,1,Bacteria,domain,0.99,Firmicutes,phylum,0.9,Clostridia,class,0.87,Clostridiales,order,0.87,Lachnospiraceae,family,0.77,Blautia,genus,0.59
30,denovo354,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.56,Clostridia,class,0.52,Clostridiales,order,0.46,Ruminococcaceae,family,0.22,Butyricicoccus,genus,0.12
31,denovo280,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.47,Clostridia,class,0.44,Clostridiales,order,0.43,Clostridiales_Incertae Sedis XI,family,0.08,Soehngenia,genus,0.06
32,denovo39,Root,rootrank,1,Bacteria,domain,0.99,Firmicutes,phylum,0.9,Clostridia,class,0.89,Clostridiales,order,0.89,Lachnospiraceae,family,0.86,Lachnospiracea_incertae_sedis,genus,0.62
33,denovo1033,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.62,Clostridia,class,0.58,Clostridiales,order,0.57,Ruminococcaceae,family,0.33,Oscillibacter,genus,0.19
34,denovo309,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.81,Clostridia,class,0.8,Clostridiales,order,0.8,Ruminococcaceae,family,0.56,Acetanaerobacterium,genus,0.22
35,denovo916,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,1,Clostridia,class,1,Clostridiales,order,1,Lachnospiraceae,family,1,Lachnospiracea_incertae_sedis,genus,0.94
36,denovo90,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.97,Erysipelotrichia,class,0.97,Erysipelotrichales,order,0.97,Erysipelotrichaceae,family,0.97,Clostridium XVIII,genus,0.9
37,denovo600,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.9,Erysipelotrichia,class,0.87,Erysipelotrichales,order,0.87,Erysipelotrichaceae,family,0.87,Solobacterium,genus,0.44
38,denovo584,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.77,Clostridia,class,0.48,Clostridiales,order,0.46,Clostridiaceae 4,family,0.03,Caminicella,genus,0
39,denovo894,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.99,Clostridia,class,0.99,Clostridiales,order,0.99,Lachnospiraceae,family,0.94,Blautia,genus,0.9
40,denovo34,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.97,Clostridia,class,0.96,Clostridiales,order,0.96,Ruminococcaceae,family,0.95,Gemmiger,genus,0.53
